Label	Id
1	ClientId:00067F0C7015611A25247308714C6059,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:0011A0E6AE5560E70B59ACE2AFCC6138,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:0017BC1C7A846457273DB0187B5365B5,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:0018F8A4248262171E90F4A025AC63AE,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:001ABE0089F56A550E54B20488DB6BE4,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:001CB902A4876B8B205BB507A5DB6A45,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:001D67F0E5EF6CAC339F6BF4E48E6D24,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:0020459FC9C368DE29C2499BC8176919,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:0020A4DCAAB564563C32A8D8ABC465DC,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:002503305251647B079A0F3453D96541,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:00271F92D5C069CA27301396D41C6806,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:00292426AD2566BA17962822ACF567A7,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:003D24354494605D2B4B283145E7610C,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:003E737C503D6B423E327F7851ED6AD1,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:003FD03864A06350045BDC3C6574621C,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:003FFF0C618F6EAB37CAF309605F6FC9,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:0041666E290261471A106A6B28D26071,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:0046438323596C4629BB4F8722896D04,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:004CC89837A965DB1FE5C49C36D264FA,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:0050EA377AD2672D378BE6337B056661,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:00562010E731641912102C14E6E1654C,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:0057173C6CE96A7118711B386DD36B15,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:0057BAD76F8A6F25112BB6D36E606EDB,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
1	ClientId:00598FD1E40B61CD3DAD83D5E53E6083,RequestDate:2018-06-04,SetName:KnownBot,TrueLabel:true
